,Gene Name,log2(Fold change),P-value
788,CAPZB,0.053,0.59
789,EIF1AX;EIF1AY,0.071,0.586
790,QARS,0.221,0.112
791,ATP5O,-0.087,0.48
792,ARCN1,0.062,0.635
793,GCLM,0.617,0.02
794,PSMD8,-0.157,0.429
795,CCT5,0.171,0.157
796,ALDH9A1,-0.531,0.009
797,RPL34,0.587,0.002
798,RPIA,0.181,0.557
799,NASP,-0.167,0.137
800,FASN,0.177,0.195
801,CCT3,0.142,0.252
802,TUFM,-0.08,0.479
803,SRP9;DKFZp564M2223,-0.292,0.031
804,AARS,-0.608,0.02
805,SARS,-0.019,0.896
806,PPM1F,0.053,0.659
807,PSMB2,0.248,0.197
808,MCM2,-0.642,0.004
809,ACADVL,-0.371,0.089
810,TMED10,-0.062,0.625
811,HINT1,-0.203,0.274
812,RANBP2,0.288,0.034
813,GMPS,0.039,0.711
814,IDH3A,-0.563,0.331
815,GDI2,0.024,0.817
816,SERPINH1,-0.003,0.976
817,PDLIM4,0.08,0.591
818,ST13;ST13P5,-0.109,0.39
819,VASP,-0.647,0.034
820,CCT8,0.31,0.037
